Sat,Lat,Lon,Alt,Date
1,-53.3660701380,59.2909179143,20389919.1832179278,2019-06-10T00:00:00Z
2,38.7297132016,-44.4072656807,20511173.5329790115,2019-06-10T00:00:00Z
3,-12.3089771524,62.4577481031,20240484.7807032801,2019-06-10T00:00:00Z
4,53.8507079140,8.7488321598,20207759.2824332118,2019-06-10T00:00:00Z
5,48.2150173270,-74.7453535670,20057818.8000358790,2019-06-10T00:00:00Z
6,12.4536796067,-15.0166606570,20210452.5108439960,2019-06-10T00:00:00Z
7,31.6043542832,20.2538698409,20529729.1474752501,2019-06-10T00:00:00Z
8,-19.1548774200,99.1725963623,20070802.5073380843,2019-06-10T00:00:00Z
9,53.6811973088,37.7142245977,20163787.9184169434,2019-06-10T00:00:00Z
10,-43.5761015785,-167.8199664359,20207113.1929081939,2019-06-10T00:00:00Z
11,-50.3816577709,78.4605467423,20635009.0511965379,2019-06-10T00:00:00Z
12,-16.4573713901,-111.0967978582,20331667.9488984905,2019-06-10T00:00:00Z
13,-3.2819722678,-61.4921451250,20161269.7761216164,2019-06-10T00:00:00Z
14,-27.2736908541,139.3273250657,19953680.7207318731,2019-06-10T00:00:00Z
15,-21.2040373060,-88.5867952581,20086083.9614987783,2019-06-10T00:00:00Z
16,48.9565203510,108.4808749227,19948507.5642626137,2019-06-10T00:00:00Z
17,-43.7282557006,-23.7892238798,19885452.3412493058,2019-06-10T00:00:00Z
18,-53.5958683213,97.3674505141,20580881.6066840403,2019-06-10T00:00:00Z
19,-30.9562747922,-36.9771491536,20372769.1773024611,2019-06-10T00:00:00Z
20,-24.1445676962,-152.7282479499,20300804.9268433675,2019-06-10T00:00:00Z
21,23.9771569949,-171.1047905083,20420029.2517804801,2019-06-10T00:00:00Z
22,-27.1792518206,72.1280719606,20117701.5561289266,2019-06-10T00:00:00Z
23,38.2156023303,77.8084041188,20251020.7104281262,2019-06-10T00:00:00Z
24,-53.5028204531,-108.1770714625,20336824.0455021039,2019-06-10T00:00:00Z
25,8.8240196614,-132.2322644447,20285186.7583059520,2019-06-10T00:00:00Z
26,54.4018687302,148.2819659683,20184145.1007645242,2019-06-10T00:00:00Z
27,5.6956177492,117.4142318878,20006283.2105702795,2019-06-10T00:00:00Z
28,-43.7966611462,19.1213809961,19743586.7656107619,2019-06-10T00:00:00Z
29,52.1146659801,-120.8161354863,20166498.3240518197,2019-06-10T00:00:00Z
30,9.3109008225,2.9809167102,20292088.7945909537,2019-06-10T00:00:00Z
31,15.5563222062,164.1224263859,20413762.3479254805,2019-06-10T00:00:00Z
32,-41.5291791152,151.8661917053,20111564.6889633238,2019-06-10T00:00:00Z
1,-53.4087351133,59.4224210835,20389638.6951294802,2019-06-10T00:00:15Z
2,38.6472907175,-44.3541122823,20510308.7476754449,2019-06-10T00:00:15Z
3,-12.4103904549,62.4697756839,20240541.9102110565,2019-06-10T00:00:15Z
4,53.8800587346,8.8924089676,20207776.8039732054,2019-06-10T00:00:15Z
5,48.2767811158,-74.6421584608,20057984.2176808566,2019-06-10T00:00:15Z
6,12.3510811142,-15.0058340005,20210373.7947035320,2019-06-10T00:00:15Z
7,31.6942820906,20.2883997722,20529746.6532032117,2019-06-10T00:00:15Z
8,-19.0534054303,99.1899200627,20070731.5275136717,2019-06-10T00:00:15Z
9,53.6548421090,37.8587008337,20163777.1843490601,2019-06-10T00:00:15Z
