Sat,Lat,Lon,Alt,date
27,-4.172000469185735305e+00,1.170707809204863139e+02,2.004460964496202022e+07,2018-05-06T00:00:00Z
26,5.403315975698610174e+01,1.354112621770515545e+02,2.017736423400383443e+07,2018-05-06T00:00:00Z
22,-1.885115490239689251e+01,7.172669824228691482e+01,2.010185541475591063e+07,2018-05-06T00:00:00Z
23,4.540650651173899632e+01,7.216527950703581951e+01,2.027547857664337754e+07,2018-05-06T00:00:00Z
16,5.552126796260513686e+01,1.238792698984051128e+02,2.005124450390101224e+07,2018-05-06T00:00:00Z
3,-1.418404372207477726e+00,6.115459579570212867e+01,2.021520325693459809e+07,2018-05-06T00:00:00Z
16,4.208181886220851453e+01,1.013412007228053540e+02,1.994828885155539960e+07,2018-05-06T00:00:00Z
14,-1.414946234075195797e+01,1.346439886859294290e+02,2.002000449757046252e+07,2018-05-06T00:00:00Z
32,-3.493076218714722359e+01,1.490611381878837847e+02,2.013763818782662228e+07,2018-05-06T00:00:00Z
31,2.544235205388117294e+01,1.625836032319917308e+02,2.039816956985136867e+07,2018-05-06T00:00:00Z
29,5.625659041269513239e+01,-1.399894062346089640e+02,2.018281305715157464e+07,2018-05-06T00:00:00Z
